Location,1 Energy (Mt),2 Industrial Processes (Mt),3 Agriculture (Mt),"4 Land Use, Land-Use Change and Forestry UNFCCC (Mt)",5 Waste (Mt),7 Other (Mt),Year,Total (MT)
NT,6.796,0.132,3.9765,1.7551,0.1841,Not available,2018,12.8437
QLD,123.9482,5.406,24.9347,12.9738,3.0845,Not available,2018,170.3472
SA,17.6935,3.4735,5.8348,-3.021,0.898,Not available,2018,24.8788
TAS,3.8745,1.6675,2.4509,-15.0534,0.3579,Not available,2018,-6.7026
VIC,87.8873,3.2803,16.1799,-21.6533,2.4674,Not available,2018,88.1616
WA,82.722,4.7945,9.5027,-15.2331,1.5101,Not available,2018,83.2962
ACT,1.1356,0.1753,0.0285,-0.0178,0.1658,Not available,2017,1.4874
EXTERNAL TERRITORIES (ET),0.0399,0.0019,Not available,-0.0001,0.0043,Not available,2017,0.046
NSW,111.5184,12.5974,21.5135,-9.7988,3.4824,Not available,2017,139.3129
NT,5.9947,0.1334,4.09,5.9672,0.204,Not available,2017,16.3893
QLD,118.0889,5.1395,23.5977,24.0006,2.955,Not available,2017,173.7817
SA,17.6537,3.5049,5.9941,-5.8073,1.13,Not available,2017,22.4754
TAS,3.7929,1.7187,2.5357,-10.3676,0.4094,Not available,2017,-1.9109
VIC,97.3062,3.1703,15.7935,-18.0699,3.045,Not available,2017,101.2451
WA,78.4298,4.7488,9.6665,-11.7957,1.9209,Not available,2017,82.9703
ACT,1.1819,0.1696,0.0289,-0.1607,0.1822,Not available,2016,1.4019
EXTERNAL TERRITORIES (ET),0.0399,0.0019,Not available,-0.0001,0.0043,Not available,2016,0.046
NSW,111.7235,12.0484,19.9666,-27.1943,3.3084,Not available,2016,119.8526
NT,6.0556,0.1367,4.1724,4.0349,0.2017,Not available,2016,14.6013
QLD,115.1548,5.3311,22.4291,14.6648,3.1096,Not available,2016,160.6894
SA,19.6026,3.4771,5.6404,-7.8632,1.0578,Not available,2016,21.9147
TAS,3.8422,1.5617,2.3233,-14.4033,0.3822,Not available,2016,-6.2939
VIC,100.5007,3.2206,14.7452,-21.0925,2.7866,Not available,2016,100.1606
WA,71.7472,4.6556,9.3305,-4.4146,2.0364,Not available,2016,83.3551
ACT,1.1203,0.1635,0.0242,0.1113,0.1836,Not available,2015,1.6029
EXTERNAL TERRITORIES (ET),0.0399,0.0013,Not available,-0.0001,0.0038,Not available,2015,0.0449
NSW,109.5202,11.7522,19.7875,-15.3412,3.351,Not available,2015,129.0697
NT,6.0981,0.1374,3.961,2.5204,0.1729,Not available,2015,12.8898
QLD,110.3322,5.3894,22.6614,33.5848,3.0632,Not available,2015,175.031
SA,19.343,3.4074,5.7434,-3.0274,1.0096,Not available,2015,26.476
TAS,3.5196,1.7185,2.4171,-10.7627,0.3354,Not available,2015,-2.7721
VIC,103.0405,3.1735,15.8586,-12.403,2.8208,Not available,2015,112.4904
WA,67.8343,4.7695,9.6373,0.347,1.7678,Not available,2015,84.3559
ACT,1.0535,0.1544,0.0222,0.138,0.1772,Not available,2014,1.5453
EXTERNAL TERRITORIES (ET),0.0399,0.0013,Not available,-0.0001,0.0038,Not available,2014,0.0449
NSW,111.5323,10.9764,19.9268,-9.9958,4.241,Not available,2014,136.6807
NT,7.1428,0.1322,4.0428,4.1027,0.0879,Not available,2014,15.5084
QLD,100.8266,5.3659,25.2272,45.1441,3.0238,Not available,2014,179.5876
SA,19.3858,3.3188,5.9628,-5.2468,1.0937,Not available,2014,24.5143
TAS,3.8505,1.6066,2.5579,-11.5654,0.3637,Not available,2014,-3.1867
VIC,98.1122,3.3328,16.0834,-9.204,2.3327,Not available,2014,110.6571
WA,67.4342,4.8212,9.4141,-5.181,1.8946,Not available,2014,78.3831
ACT,1.0894,0.1432,0.0298,0.1555,0.1615,Not available,2013,1.5794
EXTERNAL TERRITORIES (ET),0.0399,0.0012,Not available,-0.0001,0.0037,Not available,2013,0.0447
NSW,113.5218,11.1052,20.9648,-15.0511,4.1992,Not available,2013,134.7399
NT,7.1623,0.1641,4.1039,1.4159,0.1478,Not available,2013,12.994
QLD,103.219,5.0674,24.9468,50.061,3.2042,Not available,2013,186.4984
SA,20.3264,3.5776,5.7594,-4.448,1.0647,Not available,2013,26.2801
TAS,4.3191,1.57,2.4488,-8.3432,0.3638,Not available,2013,0.3585
VIC,100.9125,3.432,15.9221,-8.2299,2.2253,Not available,2013,114.262
WA,66.5884,4.7197,8.8284,3.309,1.9001,Not available,2013,85.3456
ACT,1.0957,0.1372,0.0298,0.2321,0.1603,Not available,2012,1.6551
EXTERNAL TERRITORIES (ET),0.0399,0.0011,Not available,-0.0001,0.0037,Not available,2012,0.0446
NSW,116.914,12.1625,20.9843,-8.7455,4.4226,Not available,2012,145.7379
NT,6.9431,0.1519,4.0938,-1.5182,0.1712,Not available,2012,9.8418
QLD,102.4283,5.5342,24.1341,33.4406,2.9779,Not available,2012,168.5151
SA,20.445,3.5597,5.816,-5.2325,1.0027,Not available,2012,25.5909
TAS,4.064,1.452,2.4231,-5.8723,0.3658,Not available,2012,2.4326
VIC,108.2795,3.589,16.1734,-4.963,3.1713,Not available,2012,126.2502
WA,62.1623,5.413,8.9277,1.2003,1.9698,Not available,2012,79.6731
ACT,1.0858,0.1303,0.031,0.3845,0.1941,Not available,2011,1.8257
EXTERNAL TERRITORIES (ET),0.0377,0.0011,Not available,-0.0001,0.004,Not available,2011,0.0427
NSW,118.8085,15.1692,20.1167,-9.406,4.8238,Not available,2011,149.5122
NT,7.0889,0.1368,4.0499,1.0002,0.1614,Not available,2011,12.4372
QLD,99.1808,5.4292,24.919,51.4192,3.4692,Not available,2011,184.4174
SA,21.6437,3.1848,5.8399,-7.7195,1.0074,Not available,2011,23.9563
TAS,4.2264,1.5109,2.3228,0.9226,0.3791,Not available,2011,9.3618
VIC,106.4905,3.5618,15.2608,4.8374,3.4994,Not available,2011,133.6499
WA,59.3386,5.2307,8.6644,-5.8221,2.0399,Not available,2011,69.4515
ACT,1.0396,0.1161,0.0249,0.272,0.2025,Not available,2010,1.6551
EXTERNAL TERRITORIES (ET),0.0204,0.0013,Not available,-0.0001,0.0039,Not available,2010,0.0255
NSW,120.283,14.2804,18.9314,-6.9917,5.1035,Not available,2010,151.6066
NT,7.2042,0.1182,3.8636,4.0091,0.1506,Not available,2010,15.3457
QLD,102.5223,5.637,22.5105,48.3607,3.3371,Not available,2010,182.3676
SA,23.0442,3.1965,5.0626,-3.6712,0.9842,Not available,2010,28.6163
TAS,4.1759,1.4493,2.16,0.5163,0.3841,Not available,2010,8.6856
VIC,106.3205,3.2983,14.6302,9.6753,3.8614,Not available,2010,137.7857
WA,56.4503,5.4301,9.5394,16.2113,2.0113,Not available,2010,89.6424
ACT,1.0049,0.1084,0.0302,0.6464,0.1987,Not available,2009,1.9886
EXTERNAL TERRITORIES (ET),0.0238,0.0012,Not available,-0.0002,0.0041,Not available,2009,0.0289
NSW,125.0156,12.2961,19.539,-10.1605,5.3005,Not available,2009,151.9907
NT,7.2065,0.128,3.2296,9.3992,0.1519,Not available,2009,20.1152
QLD,101.6246,5.4591,24.5049,50.3595,3.4255,Not available,2009,185.3736
SA,23.3036,3.0703,5.4312,-2.8332,1.029,Not available,2009,30.0009
TAS,4.1253,1.4382,2.2368,1.495,0.3475,Not available,2009,9.6428
VIC,106.9722,3.2011,14.7948,3.8468,4.026,Not available,2009,132.8409
WA,57.0788,4.7968,9.5624,9.3774,1.7074,Not available,2009,82.5228
ACT,1.0111,0.0946,0.0297,0.0061,0.1955,Not available,2008,1.337
EXTERNAL TERRITORIES (ET),0.0292,0.001,Not available,-0.0002,0.004,Not available,2008,0.034
NSW,127.0471,14.6513,19.6323,-10.8706,5.7634,Not available,2008,156.2235
NT,6.4763,0.1214,3.8236,4.5795,0.1389,Not available,2008,15.1397
